tick_index,D_value,phase_label
79,105.56388734717424,CHAOS
80,102.51364812977847,CHAOS
81,104.1550605574361,CHAOS
82,104.56905753687465,CHAOS
83,103.78274908003415,CHAOS
84,102.64729407092263,CHAOS
85,104.94098012296227,CHAOS
86,102.53752317219679,CHAOS
87,102.47869198248358,CHAOS
88,104.01316677054237,CHAOS
89,104.39079615934148,CHAOS
90,102.4030876398928,CHAOS
91,103.20895810681287,CHAOS
92,103.14173275724748,CHAOS
93,103.54264098480786,CHAOS
94,101.92938674963334,CHAOS
95,102.33784863407921,CHAOS
96,103.86983926921059,CHAOS
97,105.87399907698463,CHAOS
98,103.02964314563414,CHAOS
99,105.50465439850414,CHAOS
100,103.77454768626157,CHAOS
101,103.37162596328399,CHAOS
102,103.32125666618123,CHAOS
103,104.50290815964867,CHAOS
104,102.92605031988818,CHAOS
105,104.33486291841058,CHAOS
106,102.42668018988329,CHAOS
107,103.74285265050439,CHAOS
108,103.36069933463264,CHAOS
109,102.562379100592,CHAOS
110,102.33466535632526,CHAOS
111,104.22262437315324,CHAOS
112,103.03125619440415,CHAOS
113,103.15933824410719,CHAOS
114,104.86322982127245,CHAOS
115,104.421733849512,CHAOS
116,101.90912799730413,CHAOS
117,102.34870643874449,CHAOS
118,103.3286586428373,CHAOS
119,103.08241656082602,CHAOS
120,104.90205949558595,CHAOS
121,102.82080726308374,CHAOS
122,103.30390299850464,CHAOS
123,103.04953842828863,CHAOS
124,102.24867773451861,CHAOS
125,102.77524548332102,CHAOS
126,103.6010507259986,CHAOS
127,104.92865036780974,CHAOS
128,102.40806109632491,CHAOS
129,102.32151203829261,CHAOS
130,102.46588992113226,CHAOS
131,102.88263448993459,CHAOS
132,102.9932559007768,CHAOS
133,102.62801945435132,CHAOS
134,103.17840348872016,CHAOS
135,104.93966373217975,CHAOS
136,103.04003932135527,CHAOS
137,103.01946133616167,CHAOS
138,103.92118550668604,CHAOS
139,103.6377846859932,CHAOS
140,102.59672612555111,CHAOS
141,103.09947376415252,CHAOS
142,103.43084585467507,CHAOS
143,104.40763757176119,CHAOS
144,102.52557386854733,CHAOS
145,103.55206121058296,CHAOS
146,102.63109594449212,CHAOS
147,103.39724260817023,CHAOS
148,102.63139805994595,CHAOS
149,102.6211280037734,CHAOS
150,103.11525597264122,CHAOS
151,102.22301706006219,CHAOS
152,102.47757490419612,CHAOS
153,101.92298497502719,CHAOS
154,104.59850046025444,CHAOS
155,102.49272246827182,CHAOS
156,102.14399021906573,CHAOS
157,104.59072200928857,CHAOS
158,103.22396236401839,CHAOS
159,102.72332803350898,CHAOS
160,103.3906977756646,CHAOS
161,102.52461194232717,CHAOS
162,102.54952856927984,CHAOS
163,102.43616925371956,CHAOS
164,103.15303991213182,CHAOS
165,102.83769570416842,CHAOS
166,105.36491827550552,CHAOS
167,102.46374432784249,CHAOS
168,102.12565509237963,CHAOS
169,103.75565720788057,CHAOS
170,102.18754493076997,CHAOS
171,103.5926617435848,CHAOS
172,103.99654073474548,CHAOS
173,102.18907434706408,CHAOS
174,103.2266798115001,CHAOS
175,103.52607109538808,CHAOS
176,102.07382676449495,CHAOS
177,104.2618093591275,CHAOS
